CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1388730727;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;29/05/2024;18:24:23;;;;29/05/2024;18:24:33;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;171cdf7f-a5b9-4d5f-8144-78ffea01478a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1388720648;FEA0472;2 eixos rodagem simples;2 eixos rodagem simples;1168495145;29/05/2024;17:37:04;;;;29/05/2024;17:37:23;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;950b3b93-bc4a-436d-9692-91a2ca4d916c
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1388053049;FEA0472;2 eixos, rodagem simples;2 eixos, rodagem simples;1168495145;29/05/2024;16:07:08;01/01/2000;00:00:00;;29/05/2024;16:07:24;RODOVIAS DAS COLINAS S.A;SP 280, 110.4, OESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;7;4;;24;1013;false;c40550dd-a776-491b-91b0-bc22e2775fda
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387992698;FYX6I43;2 eixos, rodagem simples;2 eixos, rodagem simples;1182838201;29/05/2024;15:17:57;01/01/2000;00:00:00;;29/05/2024;15:19:08;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;0e1a603d-b524-451a-91d3-70bd1db55043
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387903713;FEA0472;2 eixos, rodagem simples;2 eixos, rodagem simples;1168495145;29/05/2024;14:01:18;01/01/2000;00:00:00;;29/05/2024;14:01:37;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;c5dc24f6-71d8-4873-a937-bc06480258d0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387793418;ERF3783;2 eixos, rodagem simples;2 eixos, rodagem simples;2130205569;29/05/2024;12:20:02;01/01/2000;00:00:00;;29/05/2024;12:20:12;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,2;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;1784afcc-125a-4a8c-a2c3-00fc1ba17768
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387778178;FEA0472;2 eixos, rodagem simples;2 eixos, rodagem simples;1168495145;29/05/2024;12:01:56;01/01/2000;00:00:00;;29/05/2024;12:02:07;RODOVIAS DAS COLINAS S.A;SP 280, 110.4, OESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;7;4;;24;1013;false;e9ba56ed-dd0d-4be2-bc2a-4dcec586f871
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387739649;FYX6I43;2 eixos, rodagem simples;2 eixos, rodagem simples;1182838201;29/05/2024;11:17:15;01/01/2000;00:00:00;;29/05/2024;11:18:29;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;63927d51-b6eb-45fb-9339-8d177af5412e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387721187;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;29/05/2024;10:57:18;01/01/2000;00:00:00;;29/05/2024;10:57:29;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;6f4b4382-b50c-4df7-bd0e-0048a7a2a35c
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1387574347;FYX6I43;2 eixos, rodagem simples;2 eixos, rodagem simples;1182838201;29/05/2024;08:27:20;01/01/2000;00:00:00;;29/05/2024;08:28:34;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;5a59b48f-0768-4aa2-ba5d-3bb8e03bfb2e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1388638863;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;29/05/2024;07:39:59;;;;29/05/2024;07:40:06;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;9;ARTESP;24;1013;true;b5ae6143-5dbc-400e-97c6-48f1e92b11c6
