CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465503272;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;30/07/2024;18:23:08;01/01/2000;00:00:00;;30/07/2024;18:23:23;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;542c7e48-fa10-457b-9f21-79ef5b7b2678
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465468923;BQU4D69;2 eixos, rodagem simples;2 eixos, rodagem simples;1130525385;30/07/2024;17:50:11;01/01/2000;00:00:00;;30/07/2024;17:51:57;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;0ced816d-af85-4287-911d-6b333557acd4
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465431449;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/07/2024;17:17:47;01/01/2000;00:00:00;;30/07/2024;17:18:10;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;b37121f7-d7e5-421d-bd6f-51f3706e5a8b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465293686;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/07/2024;15:12:38;01/01/2000;00:00:00;;30/07/2024;15:13:04;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;64059d5f-4d76-4d86-9256-e5f1cc252e76
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465285834;396334;;;;30/07/2024;15:05:11;01/01/2000;00:00:00;;30/07/2024;15:05:11;;Automatica-CARTAO_DE_CREDITO;1000;Credito;Recarga Automatica;;;;;;;;;;c8ee3694-0861-4eff-879a-bce80cf0101a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465285416;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/07/2024;15:04:19;01/01/2000;00:00:00;;30/07/2024;15:04:30;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;9eebc269-18b5-46cf-bebe-3db7b40ac79a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465219369;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/07/2024;13:56:06;01/01/2000;00:00:00;;30/07/2024;13:56:21;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;a6b9a599-ed8e-465a-b845-ad7ab2d3e420
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465081244;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/07/2024;11:20:49;01/01/2000;00:00:00;;30/07/2024;11:21:12;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;c8a4647b-b657-41a2-8e98-f6d7de2c4aca
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465925053;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;30/07/2024;10:51:21;;;;30/07/2024;11:01:29;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Fora SLA;;;;5;2;ARTESP;24;1013;true;3c0fc827-0478-4f7b-a3e2-ad0eba4593bb
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465053586;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;30/07/2024;10:43:54;01/01/2000;00:00:00;;30/07/2024;10:44:11;CONCESSIONARIA RODOVIAS DO TIETE S.A;SP 300 - RODOVIA MARECHAL RONDON, 192.1, LESTE, CONCHAS - SP;9,2;Debito;Passagem Dentro SLA;;;;3001;7;;3;1021;false;1bcddd78-a7b1-42f5-afaf-f242f04dd99b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465917141;FLL4673;2 eixos rodagem simples;2 eixos rodagem simples;1156734683;30/07/2024;10:28:02;;;;30/07/2024;10:28:10;CONCESSIONARIA RODOVIAS DO TIETE S.A;SP 300 - RODOVIA MARECHAL RONDON, 192.1, OESTE, CONCHAS - SP;9,2;Debito;Passagem Dentro SLA;;;;3002;2;ARTESP;3;1021;true;1c4edf2b-c8c8-4f63-b141-c52d16b183ef
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465019083;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/07/2024;10:06:02;01/01/2000;00:00:00;;30/07/2024;10:06:16;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;ebf896c4-88cf-48c2-9124-efa4eaa9a7ae
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464920033;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/07/2024;08:03:25;01/01/2000;00:00:00;;30/07/2024;08:03:52;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;af793f50-6bba-4330-8e28-f05430877f9d
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464895150;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;30/07/2024;07:38:01;01/01/2000;00:00:00;;30/07/2024;07:38:13;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;f3e55d03-e4c3-4756-915c-8b8f9358530b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464887903;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;1129701211;30/07/2024;07:29:44;01/01/2000;00:00:00;;30/07/2024;07:30:01;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;c66e3348-075d-419d-8b4b-9bb8e0abb06a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464341670;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;29/07/2024;18:25:01;01/01/2000;00:00:00;;29/07/2024;18:25:19;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;bb0fbaef-11ec-4db4-af3f-077140e917c0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464813112;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;29/07/2024;17:13:15;;;;29/07/2024;17:13:21;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;50e77053-e064-4e84-a159-139d55075d77
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1464174395;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;29/07/2024;15:55:01;01/01/2000;00:00:00;;29/07/2024;15:55:05;CONCESSIONARIA RODOVIAS DO TIETE S.A;SP 300 - RODOVIA MARECHAL RONDON, 192.1, LESTE, CONCHAS - SP;9,2;Debito;Passagem Dentro SLA;;;;3001;7;;3;1021;false;1abf2ee9-9066-4bc9-bc3a-5e4cd6d29e41
