CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1503865654;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/08/2024;10:57:17;01/01/2000;00:00:00;;30/08/2024;10:57:24;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;8775007b-1fb7-4101-896f-6bbfd5908afa
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504844649;GIY1B04;2 eixos rodagem simples;2 eixos rodagem simples;1172923315;30/08/2024;09:36:12;;;;30/08/2024;09:36:17;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;116;ARTESP;286;1012;true;27daa032-cadd-4655-9765-00c21951dca2
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1503692915;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/08/2024;08:00:10;01/01/2000;00:00:00;;30/08/2024;08:01:07;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;162b4933-0182-4050-9c8d-c7ce0c6804e1
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504816830;FLL4673;2 eixos rodagem simples;2 eixos rodagem simples;1156734683;30/08/2024;07:33:17;;;;30/08/2024;07:33:38;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;ARTESP;24;1013;true;bc074d0d-26bf-41fe-8646-00c2e4408823
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1503662318;QUA2G54;2 eixos, rodagem simples;2 eixos, rodagem simples;1131434587;30/08/2024;07:30:06;01/01/2000;00:00:00;;30/08/2024;07:31:07;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;c864ca68-8ab7-4cb3-acde-d2cedc01c4f0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1502948608;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;29/08/2024;18:22:04;01/01/2000;00:00:00;;29/08/2024;18:22:19;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;49cc1e6b-0e9f-4380-bda5-db1c00ad3602
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1502946667;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;29/08/2024;18:19:32;01/01/2000;00:00:00;;29/08/2024;18:20:32;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;f95bb49d-469d-4374-bdc0-17dd09660679
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1502939485;BQU4D69;2 eixos, rodagem simples;2 eixos, rodagem simples;1130525385;29/08/2024;18:13:19;01/01/2000;00:00:00;;29/08/2024;18:13:23;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;f089284a-6a24-4a71-9854-14a0a230bcbc
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1502897447;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;29/08/2024;17:35:11;01/01/2000;00:00:00;;29/08/2024;17:35:27;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;9d9b2cde-8709-44e9-9c0e-81a20a3cf865
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1502852591;DFJ9195;2 eixos, rodagem simples;2 eixos, rodagem simples;2199910708;29/08/2024;16:53:45;01/01/2000;00:00:00;;29/08/2024;16:54:39;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;7fb324ef-75c6-4d63-a780-eb39b43474ff
